Image name,Position,Region type,ID,Area [pixels],Perimeter [pixels],Eccentricity,Orientation [radians],Solidity,Extent,Major Axis Length [pixels],Minor Axis Length [pixels],Equivalent Diameter [pixels],Part_ID,Num_voids
img01.bmp,top_left,part,0,38291,4105.674,0.153,-1.268,0.76,0.743,277.925,274.667,220.802,0,41
img01.bmp,top_left,void,1,104,40.142,0.752,-1.556,0.912,0.693,14.874,9.809,11.507,0,41
img01.bmp,top_left,void,2,106,47.799,0.935,-1.335,0.898,0.589,20.548,7.293,11.617,0,41
img01.bmp,top_left,void,3,263,80.355,0.939,-1.307,0.895,0.501,32.887,11.318,18.299,0,41
img01.bmp,top_left,void,4,211,64.006,0.884,-1.478,0.887,0.601,25.354,11.839,16.391,0,41
img01.bmp,top_left,void,5,159,56.355,0.874,0.932,0.888,0.523,21.442,10.408,14.228,0,41
img01.bmp,top_left,void,6,211,73.077,0.951,-1.313,0.847,0.471,31.267,9.708,16.391,0,41
img01.bmp,top_left,void,7,339,75.841,0.326,0.692,0.929,0.589,22.505,21.278,20.776,0,41
img01.bmp,top_left,void,8,361,78.184,0.502,1.001,0.928,0.602,24.343,21.051,21.439,0,41
img01.bmp,top_left,void,9,329,77.77,0.718,0.249,0.901,0.58,26.044,18.126,20.467,0,41
img01.bmp,top_left,void,10,311,82.083,0.9,-0.839,0.899,0.461,31.733,13.86,19.899,0,41
img01.bmp,top_left,void,11,447,87.255,0.63,0.86,0.947,0.614,28.278,21.951,23.857,0,41
img01.bmp,top_left,void,12,335,94.184,0.946,0.203,0.893,0.511,38.903,12.555,20.653,0,41
img01.bmp,top_left,void,13,211,76.491,0.968,0.212,0.872,0.517,33.976,8.554,16.391,0,41
img01.bmp,top_left,void,14,368,90.426,0.897,-1.304,0.902,0.538,34.608,15.287,21.646,0,41
img01.bmp,top_left,void,15,168,65.184,0.954,-0.944,0.875,0.373,28.318,8.469,14.625,0,41
img01.bmp,top_left,void,16,603,105.74,0.762,-1.277,0.926,0.567,36.517,23.636,27.709,0,41
img01.bmp,top_left,void,17,602,113.397,0.879,-1.152,0.925,0.524,42.452,20.257,27.686,0,41
img01.bmp,top_left,void,18,261,74.184,0.889,0.597,0.903,0.522,28.228,12.947,18.23,0,41
img01.bmp,top_left,void,19,599,114.74,0.878,-1.157,0.912,0.528,42.326,20.257,27.616,0,41
img01.bmp,top_left,void,20,428,85.255,0.482,0.336,0.937,0.588,26.224,22.98,23.344,0,41
img01.bmp,top_left,void,21,140,55.456,0.926,-0.071,0.838,0.636,22.467,8.504,13.351,0,41
img01.bmp,top_left,void,22,368,79.355,0.778,0.928,0.922,0.615,28.366,17.822,21.646,0,41
img01.bmp,top_left,void,23,393,87.598,0.804,0.55,0.936,0.61,30.798,18.322,22.369,0,41
img01.bmp,top_left,void,24,374,80.184,0.777,1.473,0.935,0.645,28.768,18.11,21.822,0,41
img01.bmp,top_left,void,25,70,33.556,0.794,0.028,0.875,0.648,12.696,7.723,9.441,0,41
img01.bmp,top_left,void,26,343,83.598,0.863,1.183,0.905,0.527,31.115,15.715,20.898,0,41
img01.bmp,top_left,void,27,458,94.255,0.539,0.497,0.9,0.565,28.108,23.668,24.148,0,41
img01.bmp,top_left,void,28,369,82.669,0.776,0.594,0.941,0.617,28.626,18.043,21.675,0,41
img01.bmp,top_left,void,29,107,47.213,0.924,-0.256,0.877,0.626,19.364,7.425,11.672,0,41
img01.bmp,top_left,void,30,390,85.497,0.66,-0.404,0.922,0.585,27.065,20.34,22.284,0,41
img01.bmp,top_left,void,31,442,86.184,0.662,0.271,0.938,0.641,29.136,21.839,23.723,0,41
img01.bmp,top_left,void,32,305,81.497,0.906,0.95,0.91,0.407,32.429,13.739,19.706,0,41
img01.bmp,top_left,void,33,485,97.497,0.779,0.906,0.936,0.561,33.4,20.935,24.85,0,41
img01.bmp,top_left,void,34,212,65.113,0.868,1.327,0.876,0.582,24.725,12.261,16.429,0,41
img01.bmp,top_left,void,35,144,50.87,0.852,-1.241,0.883,0.554,19.781,10.364,13.541,0,41
img01.bmp,top_left,void,36,112,52.592,0.944,1.495,0.842,0.609,22.153,7.312,11.942,0,41
img01.bmp,top_left,void,37,252,68.977,0.83,1.335,0.906,0.583,25.369,14.168,17.912,0,41
img01.bmp,top_left,void,38,179,63.355,0.932,1.243,0.895,0.53,26.183,9.491,15.097,0,41
img01.bmp,top_left,void,39,152,52.663,0.845,-1.248,0.916,0.557,19.97,10.667,13.912,0,41
img01.bmp,top_left,void,40,13,13.657,0.976,0.914,0.929,0.371,8.617,1.889,4.068,0,41
img01.bmp,top_left,void,41,36,26.45,0.971,1.361,0.8,0.514,14.324,3.442,6.77,0,41
img01.bmp,bottom_left,part,0,37887,4155.306,0.157,-1.304,0.752,0.735,279.026,275.584,219.634,1,42
img01.bmp,bottom_left,void,1,167,51.249,0.67,1.174,0.928,0.596,17.907,13.298,14.582,1,42
img01.bmp,bottom_left,void,2,145,56.42,0.923,-1.27,0.89,0.525,22.947,8.838,13.587,1,42
img01.bmp,bottom_left,void,3,356,86.426,0.881,-1.337,0.927,0.535,33.069,15.622,21.29,1,42
img01.bmp,bottom_left,void,4,269,71.627,0.841,-1.393,0.944,0.623,26.506,14.356,18.507,1,42
img01.bmp,bottom_left,void,5,203,62.562,0.831,0.901,0.914,0.509,22.644,12.601,16.077,1,42
img01.bmp,bottom_left,void,6,73,39.456,0.963,0.917,0.912,0.38,19.024,5.1,9.641,1,42
img01.bmp,bottom_left,void,7,268,78.113,0.921,-1.366,0.915,0.547,31.495,12.24,18.472,1,42
img01.bmp,bottom_left,void,8,373,77.941,0.494,0.01,0.942,0.649,24.519,21.322,21.793,1,42
img01.bmp,bottom_left,void,9,403,81.255,0.527,0.719,0.944,0.596,25.917,22.025,22.652,1,42
img01.bmp,bottom_left,void,10,36,26.728,0.957,0.619,0.878,0.409,13.144,3.817,6.77,1,42
img01.bmp,bottom_left,void,11,364,80.527,0.747,0.182,0.936,0.628,27.921,18.562,21.528,1,42
img01.bmp,bottom_left,void,12,367,88.154,0.866,-0.852,0.918,0.452,32.358,16.203,21.617,1,42
img01.bmp,bottom_left,void,13,484,90.083,0.592,0.867,0.938,0.596,29.019,23.397,24.824,1,42
img01.bmp,bottom_left,void,14,225,81.906,0.972,0.2,0.846,0.468,36.861,8.672,16.926,1,42
img01.bmp,bottom_left,void,15,354,99.355,0.947,0.192,0.872,0.515,40.303,12.921,21.23,1,42
img01.bmp,bottom_left,void,16,391,91.012,0.887,-1.323,0.909,0.559,35.001,16.195,22.312,1,42
img01.bmp,bottom_left,void,17,209,69.598,0.925,-0.973,0.901,0.423,28.208,10.698,16.313,1,42
img01.bmp,bottom_left,void,18,633,105.74,0.748,-1.362,0.942,0.595,36.886,24.488,28.389,1,42
img01.bmp,bottom_left,void,19,621,115.154,0.887,-1.112,0.921,0.51,43.854,20.26,28.119,1,42
img01.bmp,bottom_left,void,20,162,60.385,0.933,-0.124,0.88,0.589,25.108,9.026,14.362,1,42
img01.bmp,bottom_left,void,21,250,75.355,0.915,0.581,0.862,0.458,30.114,12.159,17.841,1,42
img01.bmp,bottom_left,void,22,631,116.326,0.89,-1.145,0.925,0.524,44.454,20.29,28.345,1,42
img01.bmp,bottom_left,void,23,431,83.598,0.371,-0.195,0.945,0.639,25.431,23.612,23.426,1,42
img01.bmp,bottom_left,void,24,388,86.77,0.843,0.598,0.933,0.557,32.105,17.245,22.226,1,42
img01.bmp,bottom_left,void,25,365,78.184,0.775,0.894,0.931,0.608,28.19,17.826,21.558,1,42
img01.bmp,bottom_left,void,26,79,36.107,0.831,-0.294,0.849,0.608,14.382,7.996,10.029,1,42
img01.bmp,bottom_left,void,27,429,87.255,0.234,0.712,0.939,0.589,25.307,24.605,23.371,1,42
img01.bmp,bottom_left,void,28,374,79.941,0.77,1.545,0.937,0.679,28.397,18.121,21.822,1,42
img01.bmp,bottom_left,void,29,335,83.426,0.886,1.2,0.918,0.523,31.9,14.814,20.653,1,42
img01.bmp,bottom_left,void,30,341,80.426,0.823,0.654,0.934,0.546,29.042,16.483,20.837,1,42
img01.bmp,bottom_left,void,31,100,42.42,0.904,-0.286,0.926,0.617,17.659,7.568,11.284,1,42
img01.bmp,bottom_left,void,32,413,85.841,0.598,0.174,0.934,0.619,27.219,21.815,22.931,1,42
img01.bmp,bottom_left,void,33,371,79.598,0.659,-0.526,0.932,0.62,26.397,19.858,21.734,1,42
img01.bmp,bottom_left,void,34,289,82.912,0.918,0.971,0.895,0.401,33.033,13.097,19.182,1,42
img01.bmp,bottom_left,void,35,443,92.426,0.821,0.964,0.947,0.554,33.342,19.018,23.75,1,42
img01.bmp,bottom_left,void,36,201,62.042,0.904,1.401,0.918,0.644,25.723,10.992,15.998,1,42
img01.bmp,bottom_left,void,37,104,45.006,0.922,-1.215,0.881,0.547,18.998,7.378,11.507,1,42
img01.bmp,bottom_left,void,38,100,45.763,0.937,1.408,0.855,0.505,20.013,6.966,11.284,1,42
img01.bmp,bottom_left,void,39,213,63.077,0.857,1.448,0.914,0.607,24.282,12.529,16.468,1,42
img01.bmp,bottom_left,void,40,141,57.627,0.944,1.308,0.86,0.475,24.647,8.128,13.399,1,42
img01.bmp,bottom_left,void,41,112,47.799,0.925,-1.261,0.889,0.56,20.149,7.672,11.942,1,42
img01.bmp,bottom_left,void,42,4,4.0,0.0,0.785,1.0,1.0,2.0,2.0,2.257,1,42
img01.bmp,top_right,part,0,37334,4106.076,0.189,1.564,0.752,0.734,277.777,272.791,218.026,2,46
img01.bmp,top_right,void,1,107,41.314,0.83,1.488,0.93,0.743,16.144,9.01,11.672,2,46
img01.bmp,top_right,void,2,100,44.385,0.91,-1.375,0.877,0.556,18.535,7.697,11.284,2,46
img01.bmp,top_right,void,3,290,83.598,0.937,-1.354,0.895,0.503,34.416,12.018,19.216,2,46
img01.bmp,top_right,void,4,188,59.385,0.874,-1.569,0.917,0.653,23.351,11.332,15.472,2,46
img01.bmp,top_right,void,5,122,47.456,0.912,0.942,0.924,0.513,20.204,8.3,12.463,2,46
img01.bmp,top_right,void,6,236,77.941,0.953,-1.344,0.891,0.496,33.148,10.059,17.334,2,46
img01.bmp,top_right,void,7,345,73.355,0.523,0.667,0.95,0.652,23.684,20.192,20.959,2,46
img01.bmp,top_right,void,8,388,80.426,0.614,0.996,0.942,0.622,26.202,20.679,22.226,2,46
img01.bmp,top_right,void,9,270,71.113,0.803,0.332,0.912,0.577,25.509,15.217,18.541,2,46
img01.bmp,top_right,void,10,372,88.912,0.898,-0.899,0.932,0.462,34.574,15.226,21.763,2,46
img01.bmp,top_right,void,11,421,84.426,0.7,0.823,0.94,0.6,28.664,20.471,23.152,2,46
img01.bmp,top_right,void,12,398,93.012,0.905,-1.325,0.911,0.551,36.711,15.594,22.511,2,46
img01.bmp,top_right,void,13,243,80.941,0.96,0.214,0.884,0.482,34.606,9.726,17.59,2,46
img01.bmp,top_right,void,14,211,74.426,0.951,-0.988,0.854,0.377,31.401,9.749,16.391,2,46
img01.bmp,top_right,void,15,137,59.799,0.972,0.207,0.873,0.564,27.937,6.59,13.207,2,46
img01.bmp,top_right,void,16,56,34.971,0.966,-0.469,0.848,0.444,16.897,4.347,8.444,2,46
img01.bmp,top_right,void,17,647,108.912,0.756,-1.329,0.938,0.592,37.491,24.541,28.702,2,46
img01.bmp,top_right,void,18,605,111.154,0.874,-1.133,0.932,0.54,41.966,20.378,27.754,2,46
img01.bmp,top_right,void,19,315,76.77,0.876,0.68,0.94,0.551,30.349,14.621,20.027,2,46
img01.bmp,top_right,void,20,1,0.0,0.0,0.785,1.0,1.0,0.0,0.0,1.128,2,46
img01.bmp,top_right,void,21,612,112.326,0.871,-1.164,0.936,0.553,42.153,20.737,27.915,2,46
img01.bmp,top_right,void,22,378,77.941,0.601,0.147,0.945,0.667,25.604,20.457,21.938,2,46
img01.bmp,top_right,void,23,394,80.77,0.744,0.95,0.947,0.631,28.504,19.053,22.398,2,46
img01.bmp,top_right,void,24,472,92.184,0.755,0.654,0.937,0.605,32.043,21.019,24.515,2,46
img01.bmp,top_right,void,25,2,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.596,2,46
img01.bmp,top_right,void,26,388,80.184,0.733,1.483,0.939,0.637,28.064,19.1,22.226,2,46
img01.bmp,top_right,void,27,371,82.77,0.855,1.219,0.939,0.598,31.562,16.369,21.734,2,46
img01.bmp,top_right,void,28,6,6.414,0.87,1.571,1.0,0.75,3.83,1.886,2.764,2,46
img01.bmp,top_right,void,29,414,86.426,0.638,0.209,0.928,0.595,27.714,21.337,22.959,2,46
img01.bmp,top_right,void,30,449,89.255,0.718,0.686,0.941,0.594,30.401,21.154,23.91,2,46
img01.bmp,top_right,void,31,376,81.255,0.716,-0.369,0.94,0.584,27.5,19.208,21.88,2,46
img01.bmp,top_right,void,32,406,85.598,0.709,0.104,0.935,0.615,28.741,20.27,22.736,2,46
img01.bmp,top_right,void,33,50,30.728,0.946,-0.245,0.893,0.595,14.163,4.577,7.979,2,46
img01.bmp,top_right,void,34,344,85.154,0.891,0.977,0.932,0.444,33.181,15.043,20.928,2,46
img01.bmp,top_right,void,35,556,102.326,0.73,0.982,0.928,0.584,34.211,23.364,26.607,2,46
img01.bmp,top_right,void,36,60,35.799,0.962,0.57,0.87,0.429,16.984,4.642,8.74,2,46
img01.bmp,top_right,void,37,235,63.355,0.824,1.39,0.933,0.603,24.249,13.728,17.298,2,46
img01.bmp,top_right,void,38,131,47.456,0.842,-1.182,0.916,0.575,18.447,9.953,12.915,2,46
img01.bmp,top_right,void,39,23,18.728,0.95,0.868,1.0,0.479,9.647,3.008,5.412,2,46
img01.bmp,top_right,void,40,134,54.627,0.936,1.51,0.876,0.62,23.716,8.33,13.062,2,46
img01.bmp,top_right,void,41,260,68.184,0.794,1.364,0.935,0.602,24.559,14.939,18.195,2,46
img01.bmp,top_right,void,42,213,63.698,0.9,1.27,0.922,0.585,26.03,11.32,16.468,2,46
img01.bmp,top_right,void,43,135,46.87,0.861,-1.138,0.951,0.592,18.886,9.603,13.111,2,46
img01.bmp,top_right,void,44,53,28.971,0.892,0.934,0.883,0.535,12.394,5.598,8.215,2,46
img01.bmp,top_right,void,45,31,22.485,0.939,1.216,0.912,0.62,10.719,3.678,6.283,2,46
img01.bmp,top_right,void,46,56,34.071,0.972,1.402,0.875,0.659,17.717,4.188,8.444,2,46
img01.bmp,bottom_right,part,0,37868,4139.319,0.164,-1.07,0.756,0.738,277.9,274.158,219.579,3,45
img01.bmp,bottom_right,void,1,167,55.87,0.847,1.173,0.928,0.612,21.353,11.344,14.582,3,45
img01.bmp,bottom_right,void,2,143,52.627,0.879,-1.289,0.877,0.596,20.765,9.909,13.493,3,45
img01.bmp,bottom_right,void,3,397,93.255,0.88,-1.428,0.923,0.522,34.812,16.525,22.483,3,45
img01.bmp,bottom_right,void,4,249,70.184,0.781,-1.492,0.905,0.61,24.014,14.992,17.806,3,45
img01.bmp,bottom_right,void,5,156,56.491,0.901,0.846,0.897,0.51,22.43,9.733,14.093,3,45
img01.bmp,bottom_right,void,6,303,84.77,0.932,-1.414,0.904,0.532,34.487,12.504,19.642,3,45
img01.bmp,bottom_right,void,7,361,76.77,0.507,0.369,0.945,0.628,24.309,20.958,21.439,3,45
img01.bmp,bottom_right,void,8,402,82.083,0.59,0.84,0.931,0.595,26.425,21.336,22.624,3,45
img01.bmp,bottom_right,void,9,302,75.113,0.815,0.234,0.915,0.599,27.242,15.788,19.609,3,45
img01.bmp,bottom_right,void,10,430,93.154,0.863,-0.922,0.907,0.463,34.893,17.629,23.399,3,45
img01.bmp,bottom_right,void,11,444,87.012,0.638,0.804,0.937,0.632,28.382,21.845,23.776,3,45
img01.bmp,bottom_right,void,12,95,48.284,0.957,-0.479,0.841,0.385,21.254,6.192,10.998,3,45
img01.bmp,bottom_right,void,13,156,71.698,0.978,0.209,0.821,0.443,32.508,6.722,14.093,3,45
img01.bmp,bottom_right,void,14,407,91.598,0.888,-1.366,0.908,0.565,35.522,16.357,22.764,3,45
img01.bmp,bottom_right,void,15,243,85.941,0.968,0.195,0.859,0.469,36.995,9.294,17.59,3,45
img01.bmp,bottom_right,void,16,258,80.426,0.929,-1.036,0.887,0.43,31.847,11.818,18.124,3,45
img01.bmp,bottom_right,void,17,651,108.326,0.739,-1.345,0.933,0.596,37.059,24.978,28.79,3,45
img01.bmp,bottom_right,void,18,588,111.983,0.882,-1.094,0.914,0.507,42.098,19.805,27.362,3,45
img01.bmp,bottom_right,void,19,14,12.243,0.941,-0.247,0.824,0.667,7.386,2.503,4.222,3,45
img01.bmp,bottom_right,void,20,309,85.841,0.915,0.663,0.883,0.444,33.374,13.441,19.835,3,45
img01.bmp,bottom_right,void,21,605,114.154,0.88,-1.115,0.928,0.514,42.728,20.312,27.754,3,45
img01.bmp,bottom_right,void,22,373,79.012,0.601,-0.134,0.935,0.628,25.548,20.425,21.793,3,45
img01.bmp,bottom_right,void,23,469,97.497,0.818,0.672,0.916,0.54,34.381,19.798,24.437,3,45
img01.bmp,bottom_right,void,24,393,83.841,0.789,0.944,0.91,0.582,29.779,18.3,22.369,3,45
img01.bmp,bottom_right,void,25,19,14.036,0.947,-0.095,0.792,0.594,8.953,2.882,4.918,3,45
img01.bmp,bottom_right,void,26,6,6.414,0.913,-1.249,1.0,0.75,4.0,1.633,2.764,3,45
img01.bmp,bottom_right,void,27,373,80.77,0.777,1.54,0.93,0.622,28.799,18.132,21.793,3,45
img01.bmp,bottom_right,void,28,372,81.598,0.487,-0.115,0.93,0.596,24.788,21.651,21.763,3,45
img01.bmp,bottom_right,void,29,351,86.184,0.879,1.216,0.912,0.532,32.41,15.481,21.14,3,45
img01.bmp,bottom_right,void,30,419,89.497,0.776,0.755,0.925,0.575,30.754,19.413,23.097,3,45
img01.bmp,bottom_right,void,31,29,21.485,0.941,-0.387,0.784,0.483,10.914,3.683,6.077,3,45
img01.bmp,bottom_right,void,32,349,79.255,0.713,-0.607,0.923,0.559,26.718,18.741,21.08,3,45
img01.bmp,bottom_right,void,33,374,80.184,0.675,-0.055,0.93,0.607,26.917,19.85,21.822,3,45
img01.bmp,bottom_right,void,34,317,86.497,0.904,1.002,0.901,0.413,32.939,14.057,20.09,3,45
img01.bmp,bottom_right,void,35,503,97.74,0.791,1.043,0.923,0.569,34.403,21.031,25.307,3,45
img01.bmp,bottom_right,void,36,1,0.0,0.0,0.785,1.0,1.0,0.0,0.0,1.128,3,45
img01.bmp,bottom_right,void,37,20,19.657,0.986,0.643,0.8,0.286,12.674,2.109,5.046,3,45
img01.bmp,bottom_right,void,38,200,61.698,0.869,1.468,0.905,0.592,23.767,11.759,15.958,3,45
img01.bmp,bottom_right,void,39,78,39.799,0.932,-1.149,0.857,0.51,17.092,6.206,9.966,3,45
img01.bmp,bottom_right,void,40,105,52.213,0.955,1.459,0.82,0.547,22.795,6.787,11.562,3,45
img01.bmp,bottom_right,void,41,207,62.284,0.875,1.488,0.908,0.612,24.806,12.005,16.235,3,45
img01.bmp,bottom_right,void,42,150,57.698,0.932,1.347,0.882,0.568,23.896,8.671,13.82,3,45
img01.bmp,bottom_right,void,43,84,39.971,0.922,-1.204,0.884,0.549,17.199,6.645,10.342,3,45
img01.bmp,bottom_right,void,44,4,2.414,0.985,1.178,0.667,0.5,4.828,0.828,2.257,3,45
img01.bmp,bottom_right,void,45,3,3.414,0.816,0.785,1.0,0.75,2.309,1.333,1.954,3,45
img02.bmp,top_left,part,0,36599,4223.005,0.118,-0.817,0.73,0.713,280.14,278.182,215.869,4,41
img02.bmp,top_left,void,1,112,41.799,0.736,-1.571,0.903,0.636,15.075,10.201,11.942,4,41
img02.bmp,top_left,void,2,121,49.213,0.919,-1.309,0.903,0.576,20.69,8.136,12.412,4,41
img02.bmp,top_left,void,3,275,81.012,0.938,-1.314,0.893,0.491,33.532,11.652,18.712,4,41
img02.bmp,top_left,void,4,231,66.042,0.871,-1.473,0.92,0.635,25.745,12.638,17.15,4,41
img02.bmp,top_left,void,5,185,59.113,0.884,0.952,0.902,0.518,23.385,10.938,15.348,4,41
img02.bmp,top_left,void,6,226,74.527,0.951,-1.343,0.897,0.489,31.923,9.887,16.963,4,41
img02.bmp,top_left,void,7,384,77.355,0.211,1.016,0.955,0.667,23.316,22.789,22.112,4,41
img02.bmp,top_left,void,8,412,81.841,0.551,1.102,0.945,0.61,26.289,21.929,22.904,4,41
img02.bmp,top_left,void,9,374,81.355,0.723,0.237,0.94,0.607,27.812,19.207,21.822,4,41
img02.bmp,top_left,void,10,354,87.397,0.906,-0.836,0.924,0.421,34.475,14.581,21.23,4,41
img02.bmp,top_left,void,11,491,89.255,0.627,1.003,0.95,0.627,29.528,22.993,25.003,4,41
img02.bmp,top_left,void,12,404,105.255,0.948,0.201,0.902,0.488,43.046,13.748,22.68,4,41
img02.bmp,top_left,void,13,282,91.562,0.966,0.184,0.884,0.516,39.233,10.172,18.949,4,41
img02.bmp,top_left,void,14,404,92.184,0.904,-1.32,0.927,0.575,36.431,15.587,22.68,4,41
img02.bmp,top_left,void,15,194,71.598,0.955,-0.961,0.874,0.359,30.687,9.082,15.717,4,41
img02.bmp,top_left,void,16,664,117.983,0.886,-1.147,0.924,0.52,45.206,20.926,29.076,4,41
img02.bmp,top_left,void,17,672,109.74,0.767,-1.307,0.941,0.6,38.49,24.675,29.251,4,41
img02.bmp,top_left,void,18,306,77.355,0.898,0.591,0.927,0.54,31.26,13.752,19.739,4,41
img02.bmp,top_left,void,19,187,60.385,0.928,-0.064,0.935,0.719,25.939,9.659,15.43,4,41
img02.bmp,top_left,void,20,664,116.669,0.886,-1.192,0.941,0.572,44.946,20.86,29.076,4,41
img02.bmp,top_left,void,21,467,86.426,0.462,0.243,0.953,0.641,27.231,24.144,24.384,4,41
img02.bmp,top_left,void,22,420,82.184,0.77,0.955,0.959,0.648,30.086,19.18,23.125,4,41
img02.bmp,top_left,void,23,448,89.77,0.799,0.536,0.947,0.597,32.778,19.723,23.883,4,41
img02.bmp,top_left,void,24,393,87.841,0.863,1.211,0.912,0.541,33.102,16.72,22.369,4,41
img02.bmp,top_left,void,25,424,85.012,0.783,1.483,0.944,0.642,30.662,19.079,23.235,4,41
img02.bmp,top_left,void,26,94,39.556,0.816,0.085,0.887,0.627,15.019,8.682,10.94,4,41
img02.bmp,top_left,void,27,502,92.669,0.525,0.524,0.94,0.598,29.155,24.814,25.282,4,41
img02.bmp,top_left,void,28,136,51.456,0.914,-0.268,0.895,0.562,21.525,8.734,13.159,4,41
img02.bmp,top_left,void,29,414,85.355,0.769,0.603,0.95,0.613,30.253,19.338,22.959,4,41
img02.bmp,top_left,void,30,442,84.912,0.64,-0.429,0.942,0.589,28.446,21.863,23.723,4,41
img02.bmp,top_left,void,31,479,90.669,0.66,0.299,0.939,0.599,30.149,22.647,24.696,4,41
img02.bmp,top_left,void,32,364,90.811,0.909,0.973,0.926,0.412,35.669,14.899,21.528,4,41
img02.bmp,top_left,void,33,564,99.497,0.779,0.952,0.964,0.592,35.86,22.487,26.798,4,41
img02.bmp,top_left,void,34,246,66.284,0.871,1.395,0.932,0.651,26.649,13.11,17.698,4,41
img02.bmp,top_left,void,35,160,53.698,0.867,-1.243,0.93,0.559,21.094,10.509,14.273,4,41
img02.bmp,top_left,void,36,139,55.799,0.943,1.48,0.897,0.618,24.543,8.196,13.303,4,41
img02.bmp,top_left,void,37,275,71.113,0.841,1.339,0.945,0.614,26.81,14.525,18.712,4,41
img02.bmp,top_left,void,38,206,68.527,0.93,1.253,0.904,0.507,28.125,10.362,16.195,4,41
img02.bmp,top_left,void,39,162,54.87,0.859,-1.266,0.9,0.551,21.122,10.812,14.362,4,41
img02.bmp,top_left,void,40,25,19.314,0.946,0.96,0.926,0.521,9.816,3.186,5.642,4,41
img02.bmp,top_left,void,41,45,31.657,0.979,1.374,0.833,0.562,17.239,3.479,7.569,4,41
img02.bmp,bottom_left,part,0,36382,4305.088,0.104,-0.787,0.722,0.706,280.715,279.187,215.228,5,42
img02.bmp,bottom_left,void,1,181,56.042,0.755,1.216,0.905,0.603,20.021,13.139,15.181,5,42
img02.bmp,bottom_left,void,2,168,58.87,0.91,-1.231,0.918,0.538,23.854,9.911,14.625,5,42
img02.bmp,bottom_left,void,3,397,90.669,0.88,-1.365,0.941,0.55,34.785,16.535,22.483,5,42
img02.bmp,bottom_left,void,4,298,74.87,0.828,-1.393,0.931,0.626,27.643,15.515,19.479,5,42
img02.bmp,bottom_left,void,5,229,63.355,0.849,0.902,0.935,0.548,24.574,13.003,17.075,5,42
img02.bmp,bottom_left,void,6,74,38.87,0.964,0.881,0.961,0.411,18.922,5.055,9.707,5,42
img02.bmp,bottom_left,void,7,301,84.184,0.93,-1.35,0.915,0.523,34.211,12.592,19.577,5,42
img02.bmp,bottom_left,void,8,422,81.598,0.42,0.072,0.957,0.651,25.489,23.127,23.18,5,42
img02.bmp,bottom_left,void,9,456,85.255,0.542,0.873,0.954,0.626,27.512,23.12,24.096,5,42
img02.bmp,bottom_left,void,10,38,26.971,0.97,0.589,0.884,0.396,14.162,3.448,6.956,5,42
img02.bmp,bottom_left,void,11,406,85.941,0.765,0.119,0.94,0.615,30.014,19.322,22.736,5,42
img02.bmp,bottom_left,void,12,414,92.569,0.871,-0.841,0.937,0.461,34.746,17.042,22.959,5,42
img02.bmp,bottom_left,void,13,526,92.912,0.611,0.918,0.953,0.605,30.399,24.072,25.879,5,42
img02.bmp,bottom_left,void,14,296,93.906,0.969,0.16,0.908,0.53,41.341,10.15,19.413,5,42
img02.bmp,bottom_left,void,15,435,107.841,0.949,0.183,0.922,0.514,44.546,14.078,23.534,5,42
img02.bmp,bottom_left,void,16,47,34.763,0.982,-0.431,0.825,0.367,17.947,3.413,7.736,5,42
img02.bmp,bottom_left,void,17,444,96.426,0.883,-1.336,0.929,0.556,36.794,17.262,23.776,5,42
img02.bmp,bottom_left,void,18,242,75.841,0.937,-0.996,0.91,0.417,31.378,10.922,17.553,5,42
img02.bmp,bottom_left,void,19,687,108.912,0.726,-1.366,0.955,0.629,37.537,25.809,29.576,5,42
img02.bmp,bottom_left,void,20,667,118.569,0.888,-1.118,0.928,0.523,45.568,20.914,29.142,5,42
img02.bmp,bottom_left,void,21,174,60.971,0.938,-0.153,0.916,0.669,26.043,9.015,14.884,5,42
img02.bmp,bottom_left,void,22,288,78.184,0.916,0.597,0.944,0.49,31.932,12.794,19.149,5,42
img02.bmp,bottom_left,void,23,680,117.74,0.889,-1.143,0.952,0.552,45.771,20.932,29.425,5,42
img02.bmp,bottom_left,void,24,470,86.426,0.367,-0.378,0.963,0.646,26.677,24.82,24.463,5,42
img02.bmp,bottom_left,void,25,443,91.355,0.843,0.535,0.953,0.595,34.292,18.436,23.75,5,42
img02.bmp,bottom_left,void,26,409,82.184,0.784,0.899,0.951,0.629,30.154,18.721,22.82,5,42
img02.bmp,bottom_left,void,27,72,32.728,0.834,-0.119,0.923,0.692,13.238,7.296,9.575,5,42
img02.bmp,bottom_left,void,28,483,90.083,0.257,0.645,0.94,0.595,26.829,25.925,24.799,5,42
img02.bmp,bottom_left,void,29,415,83.598,0.786,1.479,0.947,0.648,30.409,18.802,22.987,5,42
img02.bmp,bottom_left,void,30,368,86.426,0.884,1.189,0.92,0.531,33.252,15.56,21.646,5,42
img02.bmp,bottom_left,void,31,117,48.627,0.939,-0.269,0.914,0.557,21.402,7.355,12.205,5,42
img02.bmp,bottom_left,void,32,379,82.426,0.818,0.666,0.95,0.561,30.555,17.556,21.967,5,42
img02.bmp,bottom_left,void,33,403,82.184,0.627,-0.476,0.95,0.626,27.123,21.129,22.652,5,42
img02.bmp,bottom_left,void,34,453,87.841,0.561,0.35,0.946,0.629,28.029,23.208,24.016,5,42
